Pattern,F-statistic,p-value,Significant,Tukey Results
Access Level Landing Page,,,False,
Access Level Sub-page,,,False,
Language German,,,False,
Language English,,,False,
Language Multilingual,,,False,
Avtar LOGO,,,False,
Avtar Chat Message,,,False,
Gender Male,,,False,
Gender Neutral,,,False,
Access Icon bottom right,,,False,
Access Icon bottom left,,,False,
Access Icon other,,,False,
Required Contact Voluntary,,,False,
Required Contact Other,,,False,
Quick Replies Round Under Message,,,False,
Quick Replies Angular Under Message,,,False,
Card Only picture several button,,,False,
Carousel Scrollable,,,False,
Name Stamps under message,,,False,
Date Stamps under message,,,False,
Time Stamp under message,,,False,
Typing indicator Three Dots,,,False,
Call-on menu quick replies,,,False,
Call-on menu other or no,,,False,
Conversation Recovery quick replies,,,False,
Conversation Recovery other or no,,,False,
Functionality Introduction Only Welcome Message,,,False,
FAQs In chat,,,False,
Feedback Form on Chatbot,,,False,
Message Reactions Thumbs up/down,,,False,
